Description,Category
User's laptop won't turn on,Hardware
Laptop screen flickering issue ,Software
Wireless connection dropped multiple times a day,Network
Password reset issues due to incorrect CAPS input,Account
Printer ink level is empty and not sending print jobs,Hardware
System freeze during Microsoft Office activation,Software
RDP connection taking more than 5 minutes to establish,Network
Account lockout after 5 failed login attempts with wrong password,Account
Laptop's Wi-Fi adapter is not visible in device manager ,Hardware
Error 404 when trying to access online resources from the company network,Network
Incorrect data input causing errors in our CRM software,Software
Account holder wants to change their email address and needs assistance,Account
Power supply unit (PSU) malfunctioning on desktop computer,Hardware
Laptop's keyboard backlight is not working,Hardware
Failed login attempt resulting in security lockout for 30 minutes ,Account
Router settings reset by mistake and now unable to connect to the internet,Network
Error message '0x80070005' when trying to install a software update,Software
Employee wants to add their personal device to our company's network ,Network
Company email account login credentials not syncing between devices,Account
Laptop's screen has a horizontal blur due to graphics card issue ,Hardware
Domain controller is experiencing high latency and slow response times ,Network
Printer not printing due to ink cartridge error,Hardware
Laptop is slow and lagging,Software
Wi-Fi connectivity issue in office network,Network
No internet connection after recent router update,Network
Employee's account not synced with Active Directory,Account
Desktop computer screen is turning on by itself at night,Hardware
Program cannot be installed due to corrupted registry files,Software
Cable modem not working properly after power outage,Network
User has forgotten password for their laptop account,Account
Laptop battery life is decreasing rapidly,Hardware
Software updates are failing due to outdated antivirus software,Software
The network printer is offline when it's supposed to be online,Network
Computer screen is flickering and turning off randomly,Hardware
Employee's work computer won't turn on after recent power cycle,Hardware
No sound output from laptop speakers,Hardware
Employee has two-factor authentication issues with their company account,Account
The network router's admin password is not being recognized by the device,Network
Company laptop can't connect to public Wi-Fi networks due to VPN configuration,Network
Laptop hard drive is making unusual noises and slowing down performance,Hardware
Employee is unable to receive emails because of a problem with their email client software,Software
Computer Won't Boot,Hardware
The user's computer is not turning on and needs assistance with booting.,Hardware
Dell Laptop Not Charging,Hardware
The user's Dell laptop is not charging and we need to resolve the issue.,Hardware
No Internet Connection,Network
The user reports that they have no internet connection at their workspace.,Network
Software Update Issues,Software
The user is experiencing issues with software updates on their computer.,Software
DNS Resolution Issue,Network
The user is having trouble accessing a website due to DNS resolution issues.,Network
Windows 10 Won't Turn Off,Software
"The user's Windows 10 machine won't turn off and needs assistance.
Wireless Keyboard Not Working""",Hardware
"The user reports that their wireless keyboard is not working properly.
Printer Offline""",Network
The user reports that the printer on their network is offline.,Network
Password Reset Requested,Account
The user has forgotten their password and needs assistance resetting it.,Software
